Run,Shear,Scale,Translate,Degrees,Box(P),Recall,mAP50,mAP50-95
grid_shear7.5_scale0.1_trans0.03_deg0.0,7.5,0.1,0.03,0.0,0.7618719987628485,0.8509803921568627,0.8431156566360938,0.34198920170994196
grid_shear7.5_scale0.1_trans0.03_deg5.0,7.5,0.1,0.03,5.0,0.7651400470196994,0.8495986166837088,0.8498368483093887,0.35238573641996584
grid_shear7.5_scale0.1_trans0.03_deg10.0,7.5,0.1,0.03,10.0,0.7615513763709613,0.8333333333333334,0.8203438706734457,0.3612164155657747
grid_shear7.5_scale0.1_trans0.03_deg15.0,7.5,0.1,0.03,15.0,0.7802111599742415,0.8235294117647058,0.858132566846378,0.36267043315735814
grid_shear7.5_scale0.1_trans0.06_deg0.0,7.5,0.1,0.06,0.0,0.7087328716795676,0.8764705882352941,0.8084876753720847,0.32946733469058664
grid_shear7.5_scale0.1_trans0.06_deg5.0,7.5,0.1,0.06,5.0,0.7447989712099072,0.8490196078431372,0.8499197402517219,0.37028403070216453
grid_shear7.5_scale0.1_trans0.06_deg10.0,7.5,0.1,0.06,10.0,0.7521187084188297,0.888235294117647,0.8539130599065247,0.3706273390122964
grid_shear7.5_scale0.1_trans0.06_deg15.0,7.5,0.1,0.06,15.0,0.8433374394515701,0.8686274509803922,0.8724064679679369,0.3774715346307835
grid_shear7.5_scale0.1_trans0.1_deg0.0,7.5,0.1,0.1,0.0,0.8540436668015856,0.888235294117647,0.901270400000603,0.37178415956323463
grid_shear7.5_scale0.1_trans0.1_deg5.0,7.5,0.1,0.1,5.0,0.7426623562097512,0.8607843137254902,0.8435627109387813,0.3445697838457432
grid_shear7.5_scale0.1_trans0.1_deg10.0,7.5,0.1,0.1,10.0,0.8293289511272574,0.8470588235294118,0.8920600801574258,0.3831149394709991
grid_shear7.5_scale0.1_trans0.1_deg15.0,7.5,0.1,0.1,15.0,0.8802779710853733,0.8938558609895468,0.9152267376034161,0.3896771886531639
